Name,Series,Brand,Exclusive To,UPC,Release Date,Production Status,Scale,Reference Number,HDBID,Image URL
Claptrap,"Pop! Vinyl, GameStop, Pop! Games",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}",849803057763,2015,Exclusive,,44,316977,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1930109/Claptrap_Art_Toys_656eeb4b-6a62-4d6a-bdf3-1078bd702dd3(2)_medium.png
Claptrap,"Pop! Vinyl, GameStop, Pop! Games, Funko Black Friday Box 2015",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",849803074777,2015,Exclusive,,44,316978,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321782/Claptrap_%2528Gray%2529_Vinyl_Art_Toys_54a582a6-f6c2-4279-b5ab-d04b709015e7_medium.png
Claptrap,"Pop! Vinyl, GameStop, Pop! Games, Funko Black Friday Box 2015",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",849803074777,2015,Exclusive,,44,316979,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456605/Claptrap_%2528Gold%2529_Vinyl_Art_Toys_617f4429-347c-4a1c-bd9e-b8fc6f9b2b42_medium.jpg
Codsworth,"Target, Pop! Vinyl, Pop! Games",Funko,"{'name': 'Target', 'url': '/marketplaces/hobbydb/subjects/target-retailer'}",889698122115,2017,Exclusive,,163,316980,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456606/Codsworth_%2528Battle%2529_Vinyl_Art_Toys_a2fbd6ca-2bba-4b29-b0de-2f65172c0d52_medium.jpeg
Codsworth,"Pop! Vinyl, Pop! Games",Funko,,889698122917,2017,,,163,316981,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456607/Codsworth_Vinyl_Art_Toys_749fec28-062e-4e16-9396-f489f7c0a240_medium.jpeg
Conan the Barbarian,"Pop! Vinyl, Pop! Movies",Funko,"{'name': 'Previews', 'url': '/marketplaces/hobbydb/subjects/previews-distributor'}",889698119016,Dec 2016,Exclusive,"3.75""",381,316982,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456608/Conan_the_Barbarian_%2528Bloody%2529_Vinyl_Art_Toys_b0b44372-fdf7-426e-9c15-7d5557afdc91_medium.jpg
Conan the Barbarian,"Pop! Vinyl, Previews, Pop! Movies",Funko,"{'name': 'Previews', 'url': '/marketplaces/hobbydb/subjects/previews-distributor'}",889698119023,Dec 2016,Exclusive,"4""",381,316983,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321789/Conan_the_Barbarian_%2528War_Paint%2529_Vinyl_Art_Toys_05faf52f-c89c-45c9-9073-f1929662c1e4_medium.png
Conan the Barbarian,"Pop! Vinyl, Pop! Movies",Funko,,889698117296,2016,,"3.75""",381,316984,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321791/Conan_the_Barbarian_Vinyl_Art_Toys_b0cb5469-f417-44d3-b90c-9ee90ec290c3_medium.png
Michael Corleone,"Pop! Vinyl, Pop! Movies",Funko,,849803047153,2017,,"3.75""",390,316985,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456611/Michael_Corleone_Vinyl_Art_Toys_ba8a8c1f-a61d-4cbe-abdc-da7a5586a383_medium.jpeg
Michael Corleone,"Pop! Vinyl, Pop! Movies",Funko,"{'name': 'FYE', 'url': '/marketplaces/hobbydb/subjects/fye-retailer'}",889698134460,2017,Exclusive,"3.75""",390,316986,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456612/Michael_Corleone_%2528Gray_Suit%2529_Vinyl_Art_Toys_e4a9bed4-cc1d-49dd-9034-2125ed7a1065_medium.jpeg
